Title,Year,Medium,Genetic Topic/Issue,Organism affected,Mutant is monster?,Who is doing the manipulation?,technique mentioned,Accuracy,Centrality of genetics,Theme,Attitude,Genre
South Park (Holiday Special),2017,TV Ep,DNAtoID,human,NA,Corporation,direct to consumer testing,mid,central,"Race, Discrimination",mixed,"Animation,Comedy"
South Park (Jakovasours),1999,TV Ep,Conservation,animal,No,Academic,NA,low,peripheral,"SciMad, Childhood",negative,"Animation,Comedy"
South Park (Kenny Dies),2001,TV Ep,"GeneDisease, GeneTherapy",human,No,Private,NA,low,peripheral,"Childhood, Medicine/neg",mixed,"Animation,Comedy"
South Park (Starvin' Marvin),1997,TV Ep,GMOs,animal,Yes,Academic,NA,low,peripheral,"Monsters, Childhood, Discrimination, Race",negative,"Animation,Comedy"
South Park (The Pandemic Special),2020,TV Ep,"DNAtoID, DataPrivacy, GeneTherapy",human,No,Private,NA,low,peripheral,"Medicine/neg, SciDedicated, Bioethics",negative,"Animation,Comedy"
Space: Above and Beyond (entire series),1995,TV series,"GeneEngHu, Evolution",human,Mixed,Government,NA,mid,peripheral,"Discrimination, Posthumanism, Mortality, Race, Exploitation, Autonomy",mixed,"Action,Adventure,Drama"
Species,1995,Film,"Chimera/TransGen, Essentialism, GeneEngHu, Sex",human,Yes,Government,NA,low,central,"Prometheus, SexGender, Monsters, Posthumanism, SciCold",negative,"Action,Horror,Sci-Fi"
Species II,1998,Film,"Chimera/TransGen, Essentialism, GeneEngHu, Sex, Cloning",human,Mixed,Government,NA,low,central,"Prometheus, SexGender, Monsters, Posthumanism, SciDedicated, Autonomy, Bioethics",mixed,"Action,Horror,Sci-Fi"
Species III,2004,TV Movie,"Chimera/TransGen, Conservation, GeneDisease, GeneEngHu, Sex",human,Yes,Academic,NA,low,central,"Adoption/NonBioParent, Bioethics, Childhood, SexGender, Monsters, SciDedicated",negative,"Horror,Sci-Fi"
Species: The Awakening,2007,TV Movie,"Chimera/TransGen, GeneEngHu, Essentialism, GeneDisease, OrganHarvest",human,Yes,Private,NA,low,central,"Adoption/NonBioParent, Bioethics, Childhood, SexGender, Monsters, SciCold, Medicine/pos",negative,"Action,Adventure,Horror"
Spider Baby,1967,Film,"GeneDisease, Eugenics",human,Yes,NA,NA,low,peripheral,"Adoption/NonBioParent, Childhood, Disability",negative,"Comedy,Horror,Sci-Fi"
Spider-Man,2002,Film,"GMOs, Mutation","animal, human",No,"Corporation, Accident",NA,low,peripheral,"Vulnerability, SciMad",mixed,"Action,Adventure,Sci-Fi"
Splice,2009,Film,"Chimera/TransGen, Sex","human, animal",Yes,"Academic, Corporation","SCNT, gene splicing",mid,central,"SexGender, Monsters, Bioethics, SciDedicated, Prometheus",negative,"Horror,Sci-Fi"
Splitting Adam,2015,Film,Cloning,human,No,Private,NA,low,peripheral,"Individualism, Childhood",mixed,"Action,Comedy,Family"
Spy Kids 2: The Island of Lost Dreams,2002,Film,"Chimera/TransGen, GMOs",animal,No,Private,NA,low,peripheral,"Religion, SciMad, Galatea, Monsters",positive,"Action,Adventure,Comedy"
St. Elsewhere (A Family Affair),1986,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Discrimination, Medicine/pos, Childhood, Genealogy",negative,"Comedy,Drama"
St. Elsewhere (Curtains),1988,TV Ep,"GeneDisease, GeneScreen",human,No,Medical,NA,high,central,"Genealogy, SexGender, Childhood, Medicine/pos",mixed,"Comedy,Drama"
St. Elsewhere (Down and Out on Beacon Hill),1988,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Autonomy, Mortality",negative,"Comedy,Drama"
St. Elsewhere (Down's Syndrome),1982,TV Ep,"GeneScreen, GeneDisease",human,No,Medical,amniocentesis,mid,peripheral,"Discrimination, Disability, SexGender, Medicine/pos",negative,"Comedy,Drama"
Star Trek II: The Wrath of Khan,1982,Film,"Eugenics, GeneEngHu, WorldHunger",human,Yes,Government,NA,low,peripheral,"Mortality, Posthumanism",negative,"Action,Adventure,Sci-Fi"
Star Trek: Deep Space Nine (Cardassians),1993,TV Ep,"Biobank, DNAtoID",human,NA,Government,NA,mid,central,"Race, Discrimination, Childhood, Exploitation",mixed,"Action,Adventure,Drama"
Star Trek: Deep Space Nine (Chrysalis),1998,TV Ep,"GeneEngHu, GeneTherapy",human,No,Medical,NA,low,central,"Posthumanism, Galatea, SexGender, Medicine/pos",positive,"Action,Adventure,Drama"
"Star Trek: Deep Space Nine (Doctor Bashir, I Presume)",1997,TV Ep,GeneEngHu,human,No,Private,NA,low,central,"Childhood, Sacrifice, Autonomy, NatureVNurture",mixed,"Action,Adventure,Drama"
Star Trek: Deep Space Nine (In the Crimes),1997,TV Ep,GeneTherapy,human,No,Private,NA,low,peripheral,"Mortality, Childhood",positive,"Action,Adventure,Drama"
Star Trek: Deep Space Nine (Indiscretion),1995,TV Ep,"GeneEngHu, Mutation",human,No,Government,NA,low,peripheral,"Autonomy, Sacrifice",mixed,"Action,Adventure,Drama"
Star Trek: Deep Space Nine (Statistical Probabilities),1997,TV Ep,GeneEngHu,human,No,Medical,NA,low,central,"Discrimination, Posthumanism",mixed,"Action,Adventure,Drama"
Star Trek: Deep Space Nine (The Alternate),1994,TV Ep,"DNAtoID, Biobank",human,Mixed,Accident,NA,low,central,"Autonomy, Monsters, SciCold",mixed,"Action,Adventure,Drama"
"Star Trek: Deep Space Nine (Treachery, Faith, and the Great River)",1998,TV Ep,"Cloning, Essentialism, GeneEngHu",human,No,Government,NA,low,central,"Exploitation, Mortality, Religion, Sacrifice",mixed,"Action,Adventure,Drama"
Star Trek: Discovery (An Obol for Charon),2019,TV Ep,Evolution,human,No,NA,NA,low,peripheral,Mortality,positive,"Action,Adventure,Drama"
Star Trek: Discovery (Choose Your Pain),2017,TV Ep,"Chimera/TransGen, GeneTherapy, Biobank",human,No,Academic,horizontal gene transfer,high,peripheral,"Exploitation, Sacrifice, SciDedicated, Bioethics, Vulnerability",positive,"Action,Adventure,Drama"
Star Trek: Discovery (Light and Shadows),2019,TV Ep,"Chimera/TransGen, GeneDisease",human,No,Government,NA,low,peripheral,"Childhood, Disability, Discrimination, SciDedicated",mixed,"Action,Adventure,Drama"
Star Trek: Discovery (Magic to Make the Sanest Man Go Mad),2017,TV Ep,"Chimera/TransGen, DNAtoID",human,No,Government,NA,mid,peripheral,Interdependence,positive,"Action,Adventure,Drama"
Star Trek: Discovery (Point of Light),2019,TV Ep,DNAtoID,human,No,Government,NA,low,peripheral,"SexGender, Sacrifice",positive,"Action,Adventure,Drama"
Star Trek: Discovery (Su'Kal),2020,TV Ep,"Mutation, GeneTherapy",human,No,"Medical, Accident",NA,low,peripheral,"Childhood, Interdependence, Medicine/pos",mixed,"Action,Adventure,Drama"
Star Trek: Discovery (Such Sweet Sorrow),2019,TV Ep,DNAtoID,NA,NA,Private,NA,low,peripheral,"Sacrifice, SciDedicated",mixed,"Action,Adventure,Drama"
"Star Trek: Discovery (That Hope is You, Part 2)",2021,TV Ep,Mutation,human,No,Accident,NA,low,peripheral,"Sacrifice, Interdependence, Childhood, Medicine/pos",mixed,"Action,Adventure,Drama"
Star Trek: Discovery (There Is a Tide...),2020,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Autonomy, SciCold, Vulnerability",mixed,"Action,Adventure,Drama"
Star Trek: Discovery (Vaulting Ambition),2018,TV Ep,"Chimera/TransGen, GeneEngHu, DNAtoID",human,Yes,Government,NA,low,peripheral,"Adoption/NonBioParent, Autonomy, Individualism",negative,"Action,Adventure,Drama"
Star Trek: Enterprise (Affliction),2004,TV Ep,"Biobank, BioWar/Terror, Chimera/TransGen, DataPrivacy, Eugenics, GeneEngHu, GMOs, Mutation, GeneDisease","human, microbe",Mixed,Government,"transgenic research, viral vector",low,central,"Bioethics, Prometheus, Medicine/neg, Posthumanism",negative,"Action,Adventure,Drama"
Star Trek: Enterprise (Borderland),2004,TV Ep,"GeneEngHu, DNAtoID, Eugenics",human,Yes,Private,NA,low,peripheral,"Posthumanism, SciMad, Bioethics, Adoption/NonBioParent",negative,"Action,Adventure,Drama"
Star Trek: Enterprise (Broken Bow),2001,TV Ep,GeneEngHu,human,Yes,Government,NA,low,peripheral,"Posthumanism, Discrimination",negative,"Action,Adventure,Drama"
Star Trek: Enterprise (Cogenitor),2003,TV Ep,Sex,human,No,NA,NA,low,peripheral,"SexGender, Discrimination",mixed,"Action,Adventure,Drama"
Star Trek: Enterprise (Cold Station 12),2004,TV Ep,"Biowar/Terror, Biobank, Eugenics, GeneDisease, GeneEngHu","human, microbe",Mixed,Government,"transgenic medicine, viral vector",low,central,"Adoption/NonBioParent, Childhood, Bioethics, Disability, Medicine/pos, Posthumanism, SciMad",mixed,"Action,Adventure,Drama"
Star Trek: Enterprise (Dear Doctor),2002,TV Ep,"GeneDisease, Mutation, Evolution",human,No,NA,NA,mid,central,"Interdependence, Bioethics, Exploitation, Medicine/pos, SciCold",mixed,"Action,Adventure,Drama"
Star Trek: Enterprise (Demons),2005,TV Ep,"DNAtoID, Eugenics, Chimera/TransGen, GeneEngHu",human,No,Private,NA,low,central,"Discrimination, Genealogy, Race",mixed,"Action,Adventure,Drama"
Star Trek: Enterprise (Divergence),2004,TV Ep,"BioWar/Terror, GeneTherapy, GeneEngHu, GMOs","microbe, human",Mixed,Medical,viral vector,mid,central,"Bioethics, Prometheus, Medicine/pos, Posthumanism, SciDedicated",mixed,"Action,Adventure,Drama"
Star Trek: Enterprise (Extinction),2003,TV Ep,"Mutation, Sex, DataPrivacy, Eugenics, Conservation, GMOs","human, microbe",Mixed,Government,viral vector,low,central,"Bioethics, Vulnerability, SciDedicated, Medicine/pos",mixed,"Action,Adventure,Drama"
Star Trek: Enterprise (Similitude),2003,TV Ep,"OrganHarvest, Essentialism, Cloning",human,No,Medical,NA,low,central,"Mortality, Medicine/pos, Exploitation, Autonomy",mixed,"Action,Adventure,Drama"
Star Trek: Enterprise (Terra Prime),2005,TV Ep,"Eugenics, Chimera/TransGen, GeneEngHu, DataPrivacy, Cloning",human,Mixed,Private,NA,low,central,"Discrimination, Genealogy, Race, SexGender",positive,"Action,Adventure,Drama"
Star Trek: Enterprise (The Augments),2004,TV Ep,"Biowar/Terror, Biobank, Eugenics, GeneDisease, GeneEngHu",human,Yes,Government,NA,low,central,"Adoption/NonBioParent, NatureVNurture, Posthumanism, Galatea",mixed,"Action,Adventure,Drama"
Star Trek: Enterprise (Unexpected),2001,TV Ep,Sex,human,No,Private,NA,low,peripheral,"SexGender, Adoption/NonBioParent",mixed,"Action,Adventure,Drama"
Star Trek: Lower Decks (An Embarrassment of Dooplers),2021,TV Ep,Cloning,human,No,Accident,NA,low,peripheral,"Individualism, Autonomy",positive,"Animation,Action,Adventure"
"Star Trek: Lower Decks (Kayshon, His Eyes Open)",2021,TV Ep,Cloning,human,No,Accident,NA,low,peripheral,"Individualism, Autonomy",mixed,"Animation,Action,Adventure"
Star Trek: Lower Decks (Much Ado About Boimler),2020,TV Ep,GMOs,animal,Yes,Private,CRISPR,mid,peripheral,"Monsters, SciDedicated",positive,"Animation,Action,Adventure"
Star Trek: Nemesis,2002,Film,"Cloning, GeneDisease, DataPrivacy, DNAtoID",human,Yes,Government,NA,low,central,"Adoption/NonBioParent, Childhood, Disability, Discrimination, Individualism, NatureVNurture, Race",mixed,"Action,Adventure,Sci-Fi"
Star Trek: Picard (Fly me to the Moon),2022,TV Ep,"Evolution, GeneDisease, GeneTherapy",human,No,Academic,NA,mid,central,"Bioethics, Disability, Genealogy, Interdependence, Medicine/pos, Posthumanism, SciDedicated",positive,"Action,Adventure,Drama"
Star Trek: Picard (Hide and Seek),2022,TV Ep,"Chimera/TransGen, DNAtoID, BioWar/Terror",human,Yes,Government,nanotechnology,low,peripheral,"Autonomy, Childhood, Monsters, Vulnerability",mixed,"Action,Adventure,Drama"
Star Trek: Picard (Mercy),2022,TV Ep,"Conservation, Cloning, GeneDisease, GeneTherapy",human,No,Academic,SCNT,mid,central,"Adoption/NonBioParent, Bioethics, Disability, Galatea, Individualism, Posthumanism, SciCold, Medicine/pos",mixed,"Action,Adventure,Drama"
Star Trek: Picard (Two of One),2022,TV Ep,"Cloning, GeneDisease, GeneTherapy",human,No,Academic,NA,low,peripheral,"Adoption/NonBioParent, Individualism, Medicine/pos, SciCold, Disability",mixed,"Action,Adventure,Drama"
Star Trek: Picard (Vox),2023,TV Ep,"BioWar/Terror, DataPrivacy, Eugenics, DNAtoID, GeneEngHu, GeneDisease",human,No,Government,nanotechnology,low,central,"Autonomy, Genealogy, Vulnerability",negative,"Action,Adventure,Drama"
Star Trek: Strange New Worlds (Ad Astra per Aspera),2023,TV Ep,GeneEngHu,human,No,Private,NA,low,central,"Bioethics, Discrimination, Race, Posthumanism",mixed,"Action,Adventure,Sci-Fi"
Star Trek: Strange New Worlds (All Those Who Wander),2022,TV Ep,Evolution,animal,Yes,Accident,NA,low,peripheral,"Monsters, Adoption/NonBioParent, Childhood, Sacrifice",negative,"Action,Adventure,Sci-Fi"
Star Trek: Strange New Worlds (Charades),2023,TV Ep,"Chimera/TransGen, GeneTherapy, Essentialism",human,No,Accident,NA,low,peripheral,"Discrimination, Race, SciDedicated",mixed,"Action,Adventure,Sci-Fi"
Star Trek: Strange New Worlds (Ghosts of Illyria),2022,TV Ep,GeneEngHu,human,No,Government,NA,low,peripheral,"Discrimination, Vulnerability, Medicine/pos, Posthumanism",positive,"Action,Adventure,Sci-Fi"
Star Trek: Strange New Worlds (Strange New Worlds),2022,TV Ep,"GeneEngHu, GeneTherapy",human,No,Medical,NA,low,peripheral,Interdependence,positive,"Action,Adventure,Sci-Fi"
Star Trek: Strange New Worlds (The Broken Circle),2023,TV Ep,GeneTherapy,human,NA,Medical,NA,low,peripheral,Medicine/pos,positive,"Action,Adventure,Sci-Fi"
Star Trek: The Animated Series (More Tribbles More Troubles),1973,TV Ep,"BioWar/Terror, Chimera/TransGen, GMOs, Conservation",animal,Yes,Private,NA,low,peripheral,Galatea,mixed,"Animation,Action,Adventure"
Star Trek: The Animated Series (The Infinite Vulcan),1973,TV Ep,"Cloning, Eugenics",human,No,Private,NA,low,central,"Autonomy, Race, Bioethics, Medicine/pos, SciNazi, Posthumanism",mixed,"Animation,Action,Adventure"
Star Trek: The Next Generation (Bloodlines),1994,TV Ep,"GeneEngHu, DNAtoID",human,No,Private,NA,low,peripheral,"Adoption/NonBioParent, Childhood, Exploitation, Medicine/pos",negative,"Action,Adventure,Drama"
Star Trek: The Next Generation (Ethics),1992,TV Ep,"Cloning, OrganHarvest",human,No,Medical,NA,low,peripheral,"Bioethics, Childhood, Disability, Exploitation, Medicine/pos, SciCold, Mortality",mixed,"Action,Adventure,Drama"
Star Trek: The Next Generation (Genesis),1994,TV Ep,"Evolution, GeneDisease, GeneTherapy, Mutation","human, microbe",Mixed,Medical,viral vector,low,central,"Medicine/pos, SciDedicated, Monsters",mixed,"Action,Adventure,Drama"
Star Trek: The Next Generation (Identity Crisis),1991,TV Ep,"Chimera/TransGen, Mutation",human,No,NA,NA,low,peripheral,"Autonomy, Medicine/pos, SciDedicated",negative,"Action,Adventure,Drama"
Star Trek: The Next Generation (Loud as a Whisper),1989,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Autonomy, Disability, Genealogy",mixed,"Action,Adventure,Drama"
Star Trek: The Next Generation (Rightful Heir),1993,TV Ep,"Cloning, DNAtoID, Essentialism",human,NA,Government,ancient DNA,low,peripheral,"Mortality, Religion",mixed,"Action,Adventure,Drama"
Star Trek: The Next Generation (The Chase),1992,TV Ep,"Chimera/TransGen, GeneEngHu",human,No,Government,NA,low,central,"Interdependence, Mortality",positive,"Action,Adventure,Drama"
Star Trek: The Next Generation (The Child),1988,TV Ep,"Biobank, Mutation, GMOs",microbe,Yes,Government,radiation,low,peripheral,"Childhood, Authonomy, SexGender, Medicine/pos",negative,"Action,Adventure,Drama"
Star Trek: The Next Generation (The High Ground),1990,TV Ep,Mutation,human,No,Private,NA,low,peripheral,"Autonomy, Childhood, Medicine/pos",negative,"Action,Adventure,Drama"
Star Trek: The Next Generation (The Masterpiece Society),1992,TV Ep,"Eugenics, Essentialism",human,No,Government,NA,mid,central,"Autonomy, SciDedicated, Vulnerability, Disability",negative,"Action,Adventure,Drama"
Star Trek: The Next Generation (The Vengeance Factor),1989,TV Ep,"BioWar/Terror, DNAtoID, GMOs",microbe,Yes,Private,NA,low,peripheral,"Autonomy, Genealogy",negative,"Action,Adventure,Drama"
Star Trek: The Next Generation (Transfigurations),1990,TV Ep,"Mutation, Evolution, GeneTherapy",human,No,"Medical, Accident",DNA data storage,low,central,"Medicine/pos, Posthumanism, Bioethics, Discrimination",positive,"Action,Adventure,Drama"
Star Trek: The Next Generation (Unnatural Selection),1989,TV Ep,"GeneEngHu, GeneTherapy",human,No,Academic,NA,low,central,"Medicine/pos, Posthumanism, Childhood, SciDedicated",mixed,"Action,Adventure,Drama"
Star Trek: The Next Generation (Up the Long Ladder),1989,TV Ep,"Cloning, DataPrivacy, Sex",human,No,Government,NA,low,central,"Individualism, Interdependence, SciCold",negative,"Action,Adventure,Drama"
Star Trek: The Next Generation (When the Bough Breaks),1988,TV Ep,Sex,human,No,Accident,radiation,low,peripheral,"Adoption/NonBioParent, Childhood, Medicine/pos",negative,"Action,Adventure,Drama"
Star Trek: The Original Series (Space Seed),1967,TV Ep,"Eugenics, GeneEngHu",human,Mixed,Academic,NA,low,central,"Galatea, NatureVNurture, Posthumanism, SciCold",mixed,"Action,Adventure,Sci-Fi"
Star Trek: Voyager (Ashes to Ashes),2000,TV Ep,"GeneEngHu, DNAtoID, Essentialism",human,No,Government,NA,low,peripheral,"Mortality, Autonomy",mixed,"Action,Adventure,Sci-Fi"
Star Trek: Voyager (Faces),1995,TV Ep,"GeneEngHu, Chimera/TransGen, OrganHarvest, Essentialism",human,No,Medical,NA,low,central,"Discrimination, Exploitation, Race, SciCold, Sacrifice, Interdependence",mixed,"Action,Adventure,Sci-Fi"
Star Trek: Voyager (Favorite Son),1997,TV Ep,"GeneEngHu, Chimera/TransGen, Essentialism",human,No,Government,"retroviral vector, IVF",low,central,"Childhood, Autonomy, Exploitation, SexGender, NatureVNurture",negative,"Action,Adventure,Sci-Fi"
Star Trek: Voyager (Lineage),2001,TV Ep,"Chimera/TransGen, Essentialism, GeneEngHu, GeneTherapy, Eugenics",human,No,Medical,NA,mid,central,"Race, Discrimination, Genealogy, SexGender, Bioethics, Childhood, Medicine/pos",mixed,"Action,Adventure,Sci-Fi"
Star Trek: Voyager (Threshold),1996,TV Ep,"Evolution, Mutation, GeneTherapy",human,Yes,"Accident, Medical",radiation,low,central,"Monsters, Posthumanism, Medicine/pos, SciDedicated",negative,"Action,Adventure,Sci-Fi"
Star Wars: Episode II - The Attack of the Clones,2002,Film,Cloning,human,No,Government,NA,low,peripheral,"Individualism, SciCold",mixed,"Action,Adventure,Fantasy"
Starbuck,2011,Film,Sex,human,No,Medical,NA,mid,central,"Disability, Adoption/NonBioParent, Autonomy, Bioethics, Medicine/neg",mixed,"Comedy,Drama,Romance"
Stargate Atlantis (First Contact),2008,TV Ep,GeneTherapy,human,No,Medical,NA,low,peripheral,"Interdependence, Monsters",positive,"Action,Adventure,Drama"
Stargate Atlantis (Hide and Seek),2004,TV Ep,"GeneTherapy, GeneEngHu, Evolution",human,No,Medical,retrovirus,mid,peripheral,"Vulnerability, Medicine/pos, Sacrifice, Monsters, Posthumanism, SciDedicated",positive,"Action,Adventure,Drama"
Stargate Atlantis (Infection),2008,TV Ep,"GeneTherapy, BioWar/Terror",human,No,Medical,retrovirus,low,peripheral,"Medicine/neg, Vulnerability",mixed,"Action,Adventure,Drama"
Stargate Atlantis (Spoils of War),2008,TV Ep,"Sex, Cloning, BioWar/Terror",human,Mixed,NA,NA,low,peripheral,SexGender,mixed,"Action,Adventure,Drama"
Stargate Atlantis (Tao of Rodney),2007,TV Ep,Mutation,human,No,Accident,NA,low,peripheral,"Posthumanism, Vulnerability, SciDedicated, Medicine/pos",mixed,"Action,Adventure,Drama"
Stargate Atlantis (The Gift),2005,TV Ep,"GeneEngHu, Chimera/TransGen, Evolution",human,Mixed,Government,DNA seq,low,central,"Genealogy, Posthumanism, Exploitation, SciDedicated",mixed,"Action,Adventure,Drama"
Stargate Atlantis (The Kindred Part II),2008,TV Ep,"Chimera/TransGen, Cloning, GeneEngHu",human,No,Private,SCNT,mid,peripheral,"Autonomy, Individualism, Mortality, Medicine/pos, SciDedicated, SexGender",mixed,"Action,Adventure,Drama"
Stargate Atlantis (The Queen),2008,TV Ep,"Chimera/TransGen, GeneTherapy",human,No,Medical,NA,low,peripheral,"Posthumanism, Monsters",positive,"Action,Adventure,Drama"
Stargate Atlantis (The Seed),2008,TV Ep,"Chimera/TransGen, Cloning, GeneTherapy","microbe, human",Mixed,"Medical, Government","genetic engineering, bacteriophage, retrovirus",mid,peripheral,"Medicine/pos, Sacrifice, SciDedicated, Monsters",mixed,"Action,Adventure,Drama"
Stargate SG-1 (Bane),1998,TV Ep,Mutation,human,No,NA,RNAi,low,peripheral,"SciDedicated, SciCold, Exploitation, Autonomy, Monsters, Childhood",negative,"Action,Adventure,Drama"
Stargate SG-1 (Ex Deus Machina),2005,TV Ep,Cloning,human,Yes,NA,NA,low,peripheral,Posthumanism,negative,"Action,Adventure,Drama"
Stargate SG-1 (Flesh and Blood),2006,TV Ep,Essentialism,human,Yes,NA,NA,low,peripheral,"Religion, SexGender, Childhood, Posthumanism",negative,"Action,Adventure,Drama"
Stargate SG-1 (Fragile Balance),2003,TV Ep,"DNAtoID, Cloning",human,No,Private,NA,low,peripheral,"Childhood, SciCold, Posthumanism, Bioethics",positive,"Action,Adventure,Drama"
Stargate SG-1 (Insiders),2006,TV Ep,"Cloning, Conservation",human,Yes,NA,NA,low,peripheral,Interdependence,negative,"Action,Adventure,Drama"
Stargate SG-1 (Prototype),2005,TV Ep,"GeneEngHu, Essentialism, Evolution",human,Yes,Government,NA,low,peripheral,"Monsters, SciDedicated, Posthumanism",negative,"Action,Adventure,Drama"
Stargate SG-1 (Resurrection),2004,TV Ep,"Chimera/TransGen, GeneEngHu",human,Mixed,Private,NA,low,central,"Autonomy, SciCold, Prometheus",negative,"Action,Adventure,Drama"
Stargate SG-1 (Rite of Passage),2001,TV Ep,"Mutation, GeneEngHu, Evolution, DataPrivacy",human,No,Private,retrovirus,mid,central,"Adoption/NonBioParent, Childhood, Posthumanism, Vulnerability",negative,"Action,Adventure,Drama"
Stargate SG-1 (Unending),2007,TV Ep,"Conservation, GeneDisease",human,No,NA,NA,low,peripheral,"Sacrifice, Mortality, SciDedicated",negative,"Action,Adventure,Drama"
Starhunter (entire series),2000,TV series,"GeneEngHu, Chimera/TransGen",human,Mixed,"Private, Government",nanotechnology,low,peripheral,Posthumanism,negative,"Action,Sci-Fi"
Starman,1984,Film,"Sex, Cloning, Essentialism",human,No,Government,NA,low,peripheral,"Bioethics, SexGender, Posthumanism, SciDedicated",positive,"Romance,Sci-Fi"
Still Alice,2014,Film,"GeneDisease, GeneScreen",human,No,NA,NA,mid,central,"Genealogy, Disability, Vulnerability",mixed,Drama
Strange World (Age of Reason),2000,TV Ep,"Evolution,  DNAtoID, Eugenics, DataPrivacy, GeneEngHu, Forensics, GeneDisease",human,Yes,Corporation,NA,high,central,"Bioethics, Genealogy, SciMad, Disability, Posthumanism",mixed,"Comedy,Drama"
Strange World (Down Came the Rain),1999,TV Ep,"GeneDisease, Conservation","human, animal",Mixed,Private,NA,high,peripheral,"Bioethics, Medicine/pos",positive,"Comedy,Drama"
Strange World (Food),2000,TV Ep,"Monoculture, GMOs, Chimera/TransGen, Conservation",plant,Yes,Corporation,NA,mid,peripheral,"Forensics, SexGender",negative,"Comedy,Drama"
Strange World (Lullaby),1999,TV Ep,"GeneEngHu, Cloning, OrganHarvest","animal, human",No,Medical,IVF,mid,peripheral,"Bioethics, SexGender, Exploitation",mixed,"Comedy,Drama"
Strange World (Pilot),1999,TV Ep,"BioWar/Terror, Cloning, GeneDisease, GeneEngHu, OrganHarvest",human,No,Corporation,IVF,mid,central,"Forensics, Exploitation, Mortality, Adoption/NonBioParent, Bioethics, SciMad",negative,"Comedy,Drama"
Strange World (Spirit Falls),2002,TV Ep,"DataPrivacy, GeneDisease",human,No,NA,NA,mid,central,"Religion, Race, Bioethics, Mortality, Genealogy",positive,"Comedy,Drama"
Strange World (The Devil Still Holds My Hand),2002,TV Ep,"BioWar/Terror, DNAtoID, Chimera/TransGen",microbe,Yes,Government,NA,low,central,"Bioethics, SciMad",negative,"Comedy,Drama"
"Strange World of Planet X, The",1958,Film,Mutation,"human, animal",Yes,Accident,radiation,mid,peripheral,"SciDedicated, Monsters",negative,"Drama,Horror,Sci-Fi"
Strong Medicine (Agony and Ecstacy),2005,TV Ep,"GeneScreen, DNAtoID, Chimera/TransGen",human,No,Accident,maternal DNA doesn't match child DNA bc chimera,high,central,"Discrimination, SexGender, Vulnerability",positive,Drama
Strong Medicine (BRCA1 & BRCA2),2000,TV Ep,"GeneDisease, GeneScreen",human,No,NA,NA,high,peripheral,"Medicine/pos, SexGender, Genealogy",mixed,Drama
Strong Medicine (Broken Hearts),2005,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Disability, Discrimination, Bioethics",negative,Drama
Strong Medicine (Degeneration),2003,TV Ep,"GeneScreen, GeneDisease, GeneTherapy",human,No,NA,"umbilical stem cell transfer, IVF",high,central,"Disability, Medicine/pos",mixed,Drama
Strong Medicine (Drug Interactions),2000,TV Ep,Eugenics,NA,NA,Private,NA,high,peripheral,"Discrimination, Medicine/pos, SexGender, Vulnerability, Autonomy",positive,Drama
Strong Medicine (Feeling No Pain),2005,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Childhood, Vulnerability, Medicine/pos",negative,Drama
Strong Medicine (Flesh and Blood),2002,TV Ep,"Eugenics, GeneDisease",human,No,NA,NA,high,central,"Disability, Discrimination, Medicine/pos, SexGender",negative,Drama
Strong Medicine (Heartbeats and Deadbeats),2003,TV Ep,"GeneScreen, DataPrivacy, GeneTherapy",human,No,Medical,NA,high,central,"Adoption/NonBioParent, SexGender, Vulnerability, Medicine/pos",positive,Drama
Strong Medicine (Identity Crisis),2004,TV Ep,GeneScreen,NA,NA,Medical,NA,high,peripheral,"Bioethics, Medicine/pos",positive,Drama
Strong Medicine (Love and Let Die),2003,TV Ep,"Sex, DNAtoID",human,No,Medical,IVF,high,central,"Mortality, Genealogy, Bioethics, Race",mixed,Drama
Strong Medicine (Miracle Cure),2000,TV Ep,"GeneDisease, GeneScreen",human,No,NA,NA,high,central,"SexGender, Disability, Race, Adoption/NonBioParent, Medicine/pos, Religion",negative,Drama
Strong Medicine (Outcomes),2002,TV Ep,"GeneScreen, GeneDisease, GeneTherapy, Sex, OrganHarvest",human,No,Medical,"umbilical stem cell transfer, IVF",high,central,"SexGender, Bioethics, Medicine/pos",mixed,Drama
Strong Medicine (Second Look),2000,TV Ep,Sex,human,No,NA,NA,mid,central,"LGBTQIA, Medicine/pos",mixed,Drama
Strong Medicine (Selective Breeding),2004,TV Ep,"GeneScreen, Sex",NA,NA,Medical,IVF,high,peripheral,"SexGender, Medicine/pos, Discrimination, Disability",negative,Drama
Strong Medicine (Temperatures Rising),2003,TV Ep,"GeneDisease, GeneScreen, Essentialism",human,No,Medical,IVF,high,central,"Genealogy, SexGender, Disability, Vulnerability",negative,Drama
Strong Medicine (The Hero Heart),2003,TV Ep,"GeneTherapy, GeneDisease",human,No,Medical,"retrovirus vector, 2003 French therapy FDA halt",high,peripheral,"Vulnerability, Bioethics, SexGender",mixed,Drama
